"ESTRATO","DEPARTAMENTO","P204","P205A","P612","P613","P614T","P615T","P617","P619","P621","P6221","P6222","P625","P635","P636","P6381","P6382","P6383","P6384","P6391","P6392"
2,"ANCASH",1,16,1,2,120,20,1,2,2,120,0,2,2,2,2,2,2,2,2,2
2,"ANCASH",2,38,1,2,4,48,2,1,2,240,42,1,2,1,2,2,2,2,2,2
2,"ANCASH",2,33,1,2,11,54,2,2,2,350,49,1,2,1,2,2,2,2,2,2
2,"ANCASH",1,47,1,1,34,44,2,2,2,300,0,1,2,1,2,2,2,2,1,2
2,"ANCASH",2,38,1,2,150,36,2,2,2,2003,0,1,2,2,2,2,2,2,2,2
2,"ANCASH",1,19,1,2,180,40,2,2,2,180,35,1,2,2,2,2,2,2,2,2
2,"ANCASH",1,17,1,2,160,40,2,2,2,180,42,1,2,2,2,2,2,2,2,2
1,"ANCASH",1,22,1,2,3,72,2,2,2,250,48,1,1,2,2,2,2,2,1,2
1,"ANCASH",2,18,1,2,3,66,1,1,1,35,0,1,2,2,2,2,2,2,1,2
1,"ANCASH",2,47,1,1,300,77,2,2,2,550,0,1,2,1,2,2,2,2,1,2
1,"ANCASH",1,14,1,2,5,48,2,2,2,50,0,1,2,2,2,2,2,2,2,2
1,"ANCASH",2,21,2,2,2,54,2,1,2,120,0,1,2,1,2,2,2,2,1,1
1,"ANCASH",1,21,1,2,10,54,2,2,2,300,0,1,2,2,2,2,2,2,2,2
1,"ANCASH",1,30,1,2,400,0,1,2,2,400,0,1,2,1,2,2,2,2,1,2
1,"ANCASH",2,19,1,2,100,60,1,1,2,280,0,1,2,2,2,2,2,2,1,2
1,"ANCASH",1,22,1,2,3,54,2,1,2,300,36,1,2,2,2,2,2,2,1,2
1,"ANCASH",2,35,1,2,400,0,1,2,2,287,0,1,2,1,2,2,2,2,1,2
1,"ANCASH",1,24,1,2,400,71,2,1,2,300,0,1,2,1,2,2,2,2,1,2
1,"ANCASH",2,22,1,2,400,62,2,2,2,220,0,1,2,2,2,2,2,2,2,2
1,"ANCASH",1,23,1,2,11,78,2,2,2,250,0,1,2,2,2,2,2,2,1,2
1,"ANCASH",1,22,1,2,3,60,1,2,2,250,0,2,1,1,2,2,2,2,1,2
1,"ANCASH",2,21,1,2,500,83,2,2,2,460,0,1,2,2,2,2,2,2,1,2
1,"ANCASH",1,45,1,2,10,54,2,2,2,320,0,1,2,1,2,2,2,2,1,2
1,"ANCASH",2,43,1,2,9,48,1,2,2,250,0,1,1,1,2,2,2,2,1,2
1,"ANCASH",2,18,1,2,9,48,1,2,2,200,0,1,2,2,2,2,2,2,2,2
2,"ANCASH",1,55,1,2,200,0,1,1,2,250,30,2,1,1,2,2,2,2,1,2
2,"ANCASH",2,47,1,2,300,27,2,2,2,180,0,2,2,1,2,2,2,2,1,2
2,"ANCASH",1,26,1,1,8,60,1,2,4,960,0,1,2,2,2,2,2,2,2,2
2,"ANCASH",1,21,1,2,5,54,2,2,2,300,0,1,2,2,2,2,2,2,2,2
1,"ANCASH",1,40,1,2,40,58,2,1,3,500,0,2,1,1,2,2,2,2,2,2
1,"ANCASH",2,22,1,2,3,48,1,1,3,700,42,1,2,1,2,2,2,2,1,2
2,"ANCASH",1,31,1,2,2,54,2,2,1,80,7,1,2,1,2,2,2,2,1,2
2,"ANCASH",2,28,1,2,7,77,2,2,1,35,6,1,2,2,2,2,2,2,2,2
1,"ANCASH",1,29,1,2,200,73,2,2,2,400,36,1,2,1,2,2,2,2,2,2
1,"ANCASH",1,25,1,2,200,72,2,2,2,350,60,1,2,1,2,2,2,2,2,2
3,"ANCASH",1,20,1,2,3,66,2,2,2,215,42,1,2,2,2,2,2,2,2,2
3,"ANCASH",2,24,2,2,1,77,2,1,2,196,35,1,2,1,2,2,2,2,2,2
3,"ANCASH",2,48,1,2,3,91,2,2,1,31,8,2,2,1,2,2,2,2,1,2
2,"ANCASH",2,41,1,2,4,56,2,2,2,300,0,1,2,1,2,2,2,2,2,2
2,"ANCASH",1,17,1,2,3,48,1,2,2,200,0,1,2,2,2,2,2,2,2,2
2,"ANCASH",1,30,1,2,14,63,2,2,1,63,0,1,2,2,2,2,2,2,2,2
2,"ANCASH",2,29,1,2,400,72,2,2,2,345,0,1,2,2,2,2,2,2,1,2
2,"ANCASH",1,30,1,2,71,30,1,1,2,230,0,1,2,1,2,2,2,2,1,2
2,"ANCASH",1,24,1,2,43,70,2,2,2,280,105,1,1,2,2,2,2,2,1,2
2,"ANCASH",1,19,1,2,47,70,2,2,2,280,102,1,2,1,2,2,2,2,1,2
2,"ANCASH",1,28,1,2,200,12,1,2,2,130,0,1,1,1,2,2,2,2,2,2
2,"ANCASH",2,28,1,2,50,72,2,2,2,400,0,2,2,2,2,2,2,2,2,2
2,"ANCASH",1,23,1,2,2,48,1,2,2,240,60,1,1,1,2,2,2,2,1,2
2,"ANCASH",2,38,1,2,4,16,1,1,1,30,0,1,2,1,2,2,2,2,1,2
2,"ANCASH",1,14,1,2,4,24,2,2,2,200,48,1,2,2,2,2,2,2,2,2
2,"ANCASH",2,14,1,2,3,40,2,1,2,150,0,1,2,2,2,2,2,2,2,2
2,"ANCASH",2,25,1,2,300,84,2,2,2,250,35,1,2,1,2,2,2,2,2,2
2,"ANCASH",1,20,1,2,300,84,2,1,2,300,35,1,1,1,2,2,2,2,2,2
2,"ANCASH",1,50,1,2,3,56,2,2,4,1200,0,1,1,1,2,2,2,2,2,2
2,"ANCASH",2,24,1,1,12,0,1,2,2,300,105,1,2,2,2,2,2,2,2,2
2,"ANCASH",2,54,1,2,80,14,1,2,2,150,12,1,1,1,2,2,2,2,1,2
2,"ANCASH",2,33,1,1,150,50,2,1,2,250,0,2,2,1,2,2,2,2,1,2
2,"ANCASH",2,29,1,1,150,50,2,2,2,230,0,2,2,1,2,2,2,2,1,2
2,"ANCASH",1,41,1,2,2,91,2,2,2,280,56,1,2,1,2,2,2,2,1,2
1,"ANCASH",1,69,1,2,2,48,1,2,1,40,0,1,2,1,2,2,2,2,2,2
1,"ANCASH",2,26,1,2,2,35,1,2,1,30,0,1,2,1,2,2,2,2,1,2
1,"ANCASH",2,18,1,2,5,66,2,2,1,40,0,1,2,1,2,2,2,2,1,2
1,"ANCASH",1,28,1,2,5,48,2,2,3,465,0,1,1,1,2,2,2,2,1,2
1,"ANCASH",1,34,1,2,200,0,1,1,2,180,0,1,1,1,2,2,2,2,1,2
1,"ANCASH",1,27,1,2,200,0,1,1,2,180,0,1,2,1,2,2,2,2,2,2
1,"ANCASH",2,28,1,2,5,72,2,1,2,200,0,1,2,1,2,2,2,2,2,2
1,"ANCASH",1,29,1,2,15,84,2,2,2,200,0,1,2,1,2,2,2,2,1,2
1,"ANCASH",1,41,1,2,5,48,2,2,2,740,0,1,2,1,2,2,2,2,1,2
1,"ANCASH",1,21,1,2,4,48,2,1,4,500,30,1,2,1,2,2,2,2,2,2
1,"ANCASH",2,33,1,1,30,51,1,2,2,330,0,1,1,1,2,2,2,2,1,1
1,"ANCASH",1,26,1,2,4,42,2,2,2,210,48,1,2,1,2,2,2,2,1,2
1,"ANCASH",1,31,1,2,10,66,2,2,2,300,60,1,2,1,2,2,2,2,2,2
1,"ANCASH",2,34,1,2,300,66,2,2,2,300,42,1,2,1,2,2,2,2,1,2
1,"ANCASH",2,41,1,2,300,82,2,2,2,307,0,1,2,1,2,2,2,2,2,2
1,"ANCASH",2,23,1,2,15,40,2,2,2,200,0,2,2,2,2,2,2,2,1,2
1,"ANCASH",1,22,1,1,4,72,2,2,2,300,60,1,2,1,2,2,2,2,1,2
1,"ANCASH",1,31,1,1,400,42,1,2,2,230,42,1,2,1,2,2,2,2,1,2
1,"ANCASH",2,26,1,2,5,10,2,2,3,300,0,1,2,1,2,2,2,2,1,2
2,"ANCASH",2,26,1,2,10,60,2,2,1,40,10,1,1,2,2,2,2,2,1,2
2,"ANCASH",1,32,1,2,1000,0,1,2,2,300,0,1,1,1,2,2,2,2,1,2
2,"ANCASH",2,45,1,2,8,70,2,2,2,240,56,1,2,2,2,2,2,2,1,2
2,"ANCASH",1,34,1,2,4,0,2,2,1,50,0,1,1,1,2,2,2,2,2,2
2,"ANCASH",2,29,1,2,800,0,1,2,2,300,0,1,2,2,2,2,2,2,1,2
2,"ANCASH",1,37,1,2,800,26,1,2,2,300,0,1,1,1,2,2,2,2,2,2
2,"ANCASH",1,50,1,2,5,66,2,2,2,350,0,1,2,1,2,2,2,2,2,2
2,"ANCASH",2,40,1,2,16,39,2,2,2,200,0,1,2,1,2,2,2,2,2,1
1,"ANCASH",2,19,1,2,150,90,2,2,2,400,63,1,1,2,2,2,2,2,1,2
1,"ANCASH",1,21,1,2,4,48,2,2,2,420,60,1,1,1,2,2,2,2,1,2
1,"ANCASH",2,20,1,2,3,77,2,2,3,500,0,1,1,1,2,2,2,2,1,2
1,"ANCASH",1,24,1,2,4,84,2,1,3,500,0,1,2,1,2,2,2,2,2,2
1,"ANCASH",1,28,1,2,5,33,2,2,3,120,24,1,1,1,2,2,2,2,1,2
1,"ANCASH",2,21,1,2,200,66,2,2,2,310,36,1,1,1,2,2,2,2,2,2
1,"ANCASH",1,22,1,2,150,66,2,2,2,500,18,1,1,1,2,2,2,2,2,2
1,"ANCASH",1,18,1,2,150,82,2,2,2,450,45,1,2,1,2,2,2,2,2,2
1,"ANCASH",2,29,1,2,150,39,1,2,2,350,0,1,2,2,2,2,2,2,1,2
1,"ANCASH",1,32,1,2,150,39,2,2,2,250,0,1,2,1,2,2,2,2,1,2
1,"ANCASH",1,21,1,2,4,78,1,2,2,360,0,1,1,1,2,2,2,2,1,2
1,"ANCASH",1,29,1,2,150,12,2,2,2,240,0,1,2,1,2,2,2,2,1,1
1,"ANCASH",2,31,1,2,150,72,2,2,2,300,0,1,2,1,2,2,2,2,1,2
1,"ANCASH",1,32,1,2,100,68,1,1,2,280,0,1,1,1,2,2,2,2,2,2
2,"ANCASH",1,38,1,2,8,50,2,1,2,300,0,1,2,1,2,2,2,2,1,2
2,"ANCASH",2,49,1,2,2,77,2,2,2,300,56,1,2,1,2,2,2,2,2,2
2,"ANCASH",2,45,1,2,300,84,2,2,2,180,35,1,2,1,2,2,2,2,1,2
2,"ANCASH",2,52,1,2,300,82,2,2,2,180,0,1,2,1,2,2,2,2,1,2
2,"ANCASH",2,50,1,2,800,75,2,1,2,150,0,1,2,1,2,2,2,2,1,2
2,"ANCASH",2,28,1,2,5,28,1,2,2,238,40,1,2,2,2,2,2,2,1,2
2,"ANCASH",1,29,1,2,10,60,2,1,2,370,80,1,2,2,2,2,2,2,1,2
2,"ANCASH",2,25,1,1,200,91,1,2,2,450,0,1,2,1,2,2,2,2,1,2
2,"ANCASH",1,54,1,1,200,84,1,2,2,300,21,1,2,1,2,2,2,2,1,2
2,"ANCASH",2,47,1,2,16,16,1,1,1,80,0,1,1,1,2,2,2,2,2,2
2,"ANCASH",1,22,1,1,3,58,2,2,2,240,0,1,2,1,2,2,2,2,2,2
2,"ANCASH",2,25,1,2,2,54,2,2,4,950,0,1,1,2,2,2,2,2,1,2
2,"ANCASH",2,20,1,2,4,30,2,2,2,120,32,1,2,2,2,2,2,2,1,2
2,"ANCASH",1,21,1,2,15,60,2,2,2,400,48,1,2,1,2,2,2,2,1,2
2,"ANCASH",1,20,1,2,300,72,2,2,4,1300,96,1,2,1,2,2,2,2,1,2
2,"ANCASH",1,31,1,2,2,84,2,2,1,35,0,1,1,1,2,2,2,2,2,2
3,"ANCASH",2,24,1,2,9,70,2,2,2,300,40,1,2,2,2,2,2,2,2,2
2,"ANCASH",1,28,1,2,3,84,2,2,4,840,56,1,2,1,2,2,2,2,1,2
2,"ANCASH",2,25,1,1,3,84,2,2,4,930,0,1,2,1,2,2,2,2,1,2
2,"ANCASH",1,19,1,1,6,60,2,2,4,1000,0,1,1,1,2,2,2,2,1,2
2,"ANCASH",1,26,1,2,8,63,2,2,2,350,0,1,1,1,2,2,2,2,2,2
2,"ANCASH",2,20,1,2,6,48,2,2,3,450,40,1,2,2,2,2,2,2,2,2
2,"ANCASH",1,32,1,1,11,45,1,1,2,270,0,1,1,1,2,2,2,2,2,2
2,"ANCASH",2,33,1,2,30,40,2,2,2,175,0,1,1,1,2,2,2,2,2,2
3,"ANCASH",1,21,1,2,6,71,1,2,2,360,42,1,1,1,2,2,2,2,1,2
3,"ANCASH",1,29,1,2,5,60,2,2,2,300,0,2,2,1,2,2,2,2,1,2
3,"ANCASH",2,24,1,2,49,66,2,2,2,240,0,1,2,2,2,2,2,2,1,2
3,"ANCASH",1,29,1,2,3,63,2,2,2,350,0,1,2,1,2,2,2,2,2,2
3,"ANCASH",2,31,1,2,3,56,2,2,3,560,0,1,2,2,2,2,2,2,2,2
3,"ANCASH",1,51,1,1,5,60,2,2,2,450,0,1,2,1,2,2,2,2,2,2
3,"ANCASH",2,37,1,2,60,18,1,2,2,140,0,1,2,1,2,2,2,2,2,2
3,"ANCASH",1,51,1,2,150,40,1,2,2,350,0,1,2,1,2,2,2,2,1,2
3,"ANCASH",1,20,1,2,150,40,1,2,2,350,0,1,2,2,2,2,2,2,2,2
2,"ANCASH",1,27,1,2,250,52,2,2,2,400,0,1,2,1,2,2,2,2,1,2
2,"ANCASH",2,27,1,2,180,48,2,2,2,300,0,1,2,2,2,2,2,2,2,2
2,"ANCASH",1,21,1,2,250,39,2,2,2,200,25,1,2,1,2,2,2,2,1,2
2,"ANCASH",1,32,1,2,200,72,2,2,2,700,0,1,1,1,2,2,2,2,2,2
2,"ANCASH",2,36,1,2,200,72,2,2,2,700,0,1,2,1,2,2,2,2,2,2
2,"ANCASH",1,32,1,1,2,54,2,1,2,270,66,1,2,1,2,2,2,2,1,2
2,"ANCASH",1,42,1,2,75,31,1,2,3,450,30,2,2,1,2,2,2,2,2,2
2,"ANCASH",1,51,1,1,250,40,1,2,2,300,0,2,2,1,2,2,2,2,2,2
1,"ANCASH",1,43,1,2,4,48,2,2,3,465,0,1,2,1,2,2,2,2,2,2
1,"ANCASH",2,38,1,2,4,48,2,2,3,500,0,1,1,1,2,2,2,2,2,2
1,"ANCASH",1,45,1,2,3,60,2,2,4,1200,0,1,1,1,2,2,2,2,1,2
1,"ANCASH",2,21,1,2,15,48,2,2,1,50,0,1,2,2,2,2,2,2,1,2
1,"ANCASH",2,21,1,2,200,30,1,1,1,60,0,2,1,2,2,2,2,2,2,2
1,"ANCASH",1,16,1,2,200,36,1,2,2,150,0,1,2,2,2,2,2,2,2,2
1,"ANCASH",1,24,1,2,2,84,2,2,2,300,0,1,2,1,2,2,2,2,1,2
1,"ANCASH",1,17,1,2,2,84,2,2,2,250,0,1,2,2,2,2,2,2,1,2
1,"ANCASH",2,39,1,2,160,39,2,2,2,400,0,1,2,1,2,2,2,2,1,2
1,"ANCASH",1,20,1,2,180,52,2,2,2,430,0,1,2,2,2,2,2,2,1,2
1,"ANCASH",1,29,1,2,4,72,2,2,2,300,30,1,2,1,2,2,2,2,1,2
1,"ANCASH",2,40,1,2,80,66,2,2,2,300,42,1,2,1,2,2,2,2,1,2
1,"ANCASH",1,29,1,2,2,56,2,2,1,40,5,2,2,1,2,2,2,2,1,2
1,"ANCASH",1,23,1,2,4,70,2,1,3,500,98,1,2,1,2,2,2,2,2,2
1,"ANCASH",1,32,1,2,4,72,2,2,2,215,45,1,2,1,2,2,2,2,2,2
1,"ANCASH",2,26,1,2,200,66,2,2,2,310,0,1,2,2,2,2,2,2,2,2
1,"ANCASH",1,29,1,2,200,62,2,2,2,360,0,1,2,2,2,2,2,2,2,2
1,"ANCASH",1,52,1,2,200,70,2,2,2,330,0,1,1,1,2,2,2,2,2,2
1,"ANCASH",1,21,1,2,200,54,2,2,2,300,0,2,2,1,2,2,2,2,1,2
1,"ANCASH",1,29,1,2,15,70,2,2,2,600,0,1,1,1,2,2,2,2,1,2
1,"ANCASH",2,28,2,2,1,66,2,2,3,450,0,2,2,2,2,2,2,2,1,2
1,"ANCASH",1,16,1,2,15,70,2,2,2,300,0,1,2,2,2,2,2,2,1,2
1,"ANCASH",2,30,1,2,3,72,2,2,3,450,0,1,2,1,2,2,2,2,1,2
1,"ANCASH",2,18,1,2,4,48,2,1,2,240,0,1,1,1,2,2,2,2,1,2
1,"ANCASH",2,21,1,2,300,0,2,1,2,350,0,1,1,1,2,2,2,2,1,2
1,"ANCASH",1,31,1,2,300,56,2,2,2,437,0,1,1,1,2,2,2,2,2,2
1,"ANCASH",2,36,1,2,300,56,2,2,2,300,0,1,1,1,2,2,2,2,1,2
1,"ANCASH",2,45,1,2,2,66,2,2,1,40,6,1,2,1,2,2,2,2,1,2
1,"ANCASH",2,26,1,2,10,95,2,2,2,230,56,1,2,1,2,2,2,2,1,2
2,"ANCASH",2,32,1,2,3,0,2,2,1,40,10,1,1,1,2,2,2,2,2,2
2,"ANCASH",1,60,1,2,4,30,1,2,1,30,0,1,2,1,2,2,2,2,2,2
2,"ANCASH",2,39,1,2,5,84,2,1,2,195,77,1,2,2,2,2,2,2,1,2
2,"ANCASH",2,35,1,1,20,36,2,2,4,1200,0,1,1,1,2,2,2,2,1,2
1,"ANCASH",2,29,1,2,100,16,1,1,1,80,0,1,1,1,2,2,2,2,1,2
1,"ANCASH",2,26,1,2,300,0,1,2,2,700,0,1,1,2,2,2,2,2,1,2
1,"ANCASH",2,38,1,2,300,16,1,1,2,120,0,1,2,2,2,2,2,2,2,2
1,"ANCASH",1,18,1,2,200,72,2,2,2,280,0,1,2,2,2,2,2,2,1,2
1,"ANCASH",2,23,1,2,250,76,2,2,2,400,0,1,2,1,2,2,2,2,1,2
1,"ANCASH",2,28,1,2,300,0,1,2,2,480,0,1,1,1,2,2,2,2,1,2
1,"ANCASH",1,39,1,2,400,24,1,2,2,400,0,1,2,1,2,2,2,2,1,2
1,"ANCASH",1,40,1,2,4,54,2,2,2,430,0,1,2,1,2,2,2,2,1,2
2,"ANCASH",1,25,1,2,300,56,2,2,2,250,0,1,2,1,2,2,2,2,2,2
2,"ANCASH",2,32,1,2,8,45,2,1,1,40,6,1,1,2,2,2,2,2,2,2
2,"ANCASH",2,49,1,2,6,60,2,2,2,274,60,1,2,1,2,2,2,2,1,2
1,"ANCASH",1,54,1,1,40,39,1,2,4,2300,0,2,2,1,2,2,2,2,1,2
1,"ANCASH",2,40,1,2,9,54,1,2,1,40,8,1,2,2,2,2,2,2,1,2
1,"ANCASH",2,43,1,2,250,16,1,1,2,156,0,1,2,1,2,2,2,2,1,2
1,"ANCASH",1,46,1,2,250,18,1,1,2,160,0,1,2,1,2,2,2,2,1,2
1,"ANCASH",1,18,1,2,400,30,1,2,2,200,0,1,1,1,2,2,2,2,1,2
1,"ANCASH",1,35,1,2,300,66,2,2,2,300,0,1,2,1,2,2,2,2,1,2
1,"ANCASH",2,24,1,2,350,43,1,2,2,240,0,1,1,1,2,2,2,2,1,2
1,"ANCASH",1,41,1,2,300,18,2,2,2,150,0,1,1,1,2,2,2,2,1,2
3,"ANCASH",2,45,1,2,200,24,2,2,2,140,0,1,2,1,2,2,2,2,1,2
3,"ANCASH",2,20,1,2,200,24,2,2,2,140,0,1,2,2,2,2,2,2,2,2
3,"ANCASH",1,23,1,2,200,24,2,2,2,140,0,1,2,2,2,2,2,2,2,2
3,"ANCASH",2,51,1,2,20,42,2,2,1,35,0,1,2,1,2,2,2,2,1,2
3,"ANCASH",1,18,1,2,2,6,1,2,2,360,0,1,1,2,2,2,2,2,1,1
3,"ANCASH",1,26,1,2,2,42,2,1,2,360,42,2,1,1,2,2,2,2,1,2
2,"ANCASH",1,25,1,2,300,26,2,1,2,156,12,1,2,1,2,2,2,2,1,2
2,"ANCASH",2,24,1,2,2,18,2,2,1,30,0,1,2,2,2,2,2,2,2,2
2,"ANCASH",1,40,1,2,300,9,1,1,2,68,7,1,2,1,2,2,2,2,1,2
2,"ANCASH",2,40,1,2,350,5,2,2,2,35,0,1,2,1,2,2,2,2,2,2
2,"ANCASH",1,18,1,2,350,5,1,1,2,35,0,1,1,2,2,2,2,2,2,2
2,"ANCASH",1,49,1,2,160,84,2,1,2,240,60,1,1,1,2,2,2,2,1,2
2,"ANCASH",1,48,1,2,2,24,1,2,2,520,0,1,2,1,2,2,2,2,1,1
2,"ANCASH",1,25,1,2,250,42,2,2,2,350,21,1,1,1,2,2,2,2,1,2
2,"ANCASH",2,19,1,2,7,63,2,2,2,200,70,1,2,2,2,2,2,2,1,2
2,"ANCASH",2,50,1,2,9,63,2,2,4,800,200,2,2,2,2,2,2,2,2,2
2,"ANCASH",2,28,1,2,2,24,1,2,1,20,0,1,2,2,2,2,2,2,2,2
2,"ANCASH",1,29,1,1,15,54,2,2,3,1000,0,2,2,1,2,2,2,2,1,2
1,"ANCASH",1,55,1,2,50,98,2,2,2,550,0,2,2,1,2,2,2,2,1,2
1,"ANCASH",2,16,1,2,2,24,2,2,4,500,0,1,2,2,2,2,2,2,2,2
1,"ANCASH",1,38,1,2,5,52,2,1,2,450,56,2,1,1,2,2,2,2,1,2
1,"ANCASH",2,28,1,2,250,54,2,2,2,500,48,2,2,1,2,2,2,2,1,2
1,"ANCASH",2,30,1,2,200,40,1,2,2,370,25,2,1,2,2,2,2,2,1,2
1,"ANCASH",2,24,1,2,4,54,2,1,2,200,66,1,1,2,2,2,2,2,1,2
1,"ANCASH",1,28,1,2,20,84,2,2,3,526,49,1,2,1,2,2,2,2,1,2
1,"ANCASH",1,30,1,2,2,36,1,2,2,400,40,2,1,1,2,2,2,2,1,2
1,"ANCASH",2,32,1,2,15,83,2,1,2,250,24,1,1,1,2,2,2,2,1,2
1,"ANCASH",2,54,2,2,2,68,2,2,4,1000,200,1,2,1,2,2,2,2,2,2
1,"ANCASH",1,19,1,2,3,72,2,2,2,250,0,1,2,2,2,2,2,2,2,2
1,"ANCASH",2,32,1,1,14,95,2,2,4,1700,120,1,1,1,2,2,2,2,1,2
1,"ANCASH",2,28,1,2,200,102,2,2,2,500,0,2,1,1,2,2,2,2,1,2
1,"ANCASH",2,28,1,2,80,60,2,2,2,250,75,2,2,2,2,2,2,2,1,2
1,"ANCASH",1,20,1,2,10,60,2,2,2,400,0,1,2,1,2,2,2,2,1,2
1,"ANCASH",2,57,2,2,2,48,2,1,2,200,42,1,2,1,2,2,2,2,1,2
1,"ANCASH",2,25,1,2,7,70,2,2,2,280,49,1,2,1,2,2,2,2,1,2
1,"ANCASH",1,30,1,2,10,84,1,2,2,230,56,1,2,1,2,2,2,2,1,2
1,"ANCASH",1,30,1,2,12,72,2,2,2,300,0,1,1,1,2,2,2,2,1,2
1,"ANCASH",2,37,1,2,5,72,2,2,1,70,0,1,2,1,2,1,2,2,2,2
2,"ANCASH",2,27,1,2,9,49,2,2,2,250,49,1,2,1,2,2,2,2,2,2
2,"ANCASH",2,48,1,2,4,63,2,2,2,250,54,1,2,1,2,2,2,2,2,2
2,"ANCASH",2,18,2,2,1,20,1,1,2,200,0,1,2,2,2,2,2,2,1,2
2,"ANCASH",1,34,1,2,80,28,1,1,2,140,30,1,1,1,2,2,2,2,2,2
2,"ANCASH",2,32,1,2,70,28,1,1,2,140,30,1,2,1,2,2,2,2,2,2
2,"ANCASH",2,32,1,2,2,3,1,1,1,60,0,1,1,1,2,2,2,1,2,2
2,"ANCASH",1,29,1,2,4,72,2,1,2,240,0,1,2,1,2,2,2,2,2,2
2,"ANCASH",1,22,1,2,80,90,2,1,3,520,120,1,1,1,2,2,2,2,1,2
2,"ANCASH",2,43,1,2,2,104,1,1,2,175,0,1,2,1,2,2,2,2,1,2
2,"ANCASH",1,34,1,1,80,90,2,1,3,600,0,1,2,1,2,2,2,2,2,2
2,"ANCASH",1,50,1,2,100,72,1,1,2,340,0,2,1,1,2,2,2,2,2,2
2,"ANCASH",2,43,1,2,200,72,2,2,2,620,0,2,2,1,2,2,2,2,2,2
2,"ANCASH",1,16,1,2,100,24,1,1,1,50,16,1,2,2,2,2,2,2,2,2
2,"ANCASH",1,32,1,2,5,60,2,2,2,240,0,1,2,1,2,2,2,2,1,2
2,"ANCASH",1,14,1,2,2,21,2,1,1,20,9,1,1,2,2,2,2,2,2,2
2,"ANCASH",1,22,1,2,6,60,2,1,2,300,48,1,1,2,2,2,2,2,1,2
2,"ANCASH",1,33,1,2,10,56,2,2,2,400,70,2,2,1,2,2,2,2,1,2
2,"ANCASH",1,26,1,2,2,36,1,1,1,40,8,1,2,1,2,2,2,2,1,2
1,"ANCASH",1,35,1,2,3,18,1,1,1,70,0,1,2,1,2,2,2,2,2,2
1,"ANCASH",2,41,2,2,2,48,2,2,2,150,48,1,2,1,2,2,2,2,2,2
1,"ANCASH",1,30,1,2,25,56,1,1,3,720,106,1,2,1,2,2,2,2,1,2
1,"ANCASH",2,28,1,1,28,55,2,2,4,1400,0,1,1,1,2,2,2,2,1,2
1,"ANCASH",2,32,1,2,200,60,2,2,2,300,42,2,2,1,2,2,2,2,2,2
1,"ANCASH",2,28,1,2,2,64,2,2,2,250,0,1,2,1,2,2,2,2,2,2
1,"ANCASH",1,28,1,2,6,48,2,2,2,300,0,1,2,1,2,2,2,2,2,2
1,"ANCASH",2,25,1,2,6,54,2,2,2,210,0,1,2,2,2,2,2,2,2,2
1,"ANCASH",2,22,1,2,8,48,2,2,2,180,0,1,2,2,2,2,2,2,2,2
1,"ANCASH",2,20,1,2,3,72,2,2,2,200,0,1,2,2,2,2,2,2,2,2
1,"ANCASH",2,44,1,2,3,48,2,2,2,180,42,1,1,1,2,2,2,2,1,2
1,"ANCASH",2,20,1,2,7,54,2,2,2,180,49,1,1,2,2,2,2,2,2,2
2,"ANCASH",1,24,1,2,3,77,2,1,3,530,0,1,1,1,2,2,2,2,2,2
2,"ANCASH",2,22,2,2,2,6,1,2,2,55,20,1,1,2,2,2,2,2,2,2
2,"ANCASH",1,26,1,2,6,72,2,2,2,330,42,1,2,1,2,2,2,2,2,2
2,"ANCASH",1,33,1,2,10,72,2,2,3,460,0,1,2,1,2,2,2,2,2,2
2,"ANCASH",1,25,1,2,15,66,2,2,3,468,0,1,2,2,2,2,2,2,2,2
2,"ANCASH",1,33,1,2,6,72,2,2,3,460,0,1,2,1,2,2,2,2,2,2
2,"ANCASH",1,23,1,2,10,72,2,2,3,460,0,1,2,1,2,2,2,2,2,2
2,"ANCASH",2,32,1,2,7,48,2,2,4,930,0,1,2,1,2,2,2,2,2,2
3,"ANCASH",2,31,1,2,4,48,2,2,4,800,0,2,2,2,2,2,2,2,2,2
3,"ANCASH",2,26,1,2,2,25,1,2,3,400,50,1,2,1,2,2,2,2,1,2
3,"ANCASH",1,24,1,2,7,84,2,2,2,300,49,1,2,2,2,2,2,2,1,2
3,"ANCASH",1,58,1,2,200,84,2,2,2,400,0,1,1,1,2,2,2,2,2,2
3,"ANCASH",2,51,1,1,200,18,2,2,2,400,0,1,2,1,2,2,2,2,2,2
3,"ANCASH",1,22,1,2,3,48,2,2,2,250,0,1,1,1,2,2,2,2,1,2
3,"ANCASH",2,38,1,2,150,36,1,1,2,400,0,2,2,2,2,2,2,2,1,1
2,"ANCASH",1,47,1,2,150,42,2,2,2,350,0,1,1,1,2,2,2,2,2,2
2,"ANCASH",2,53,1,2,2,3,1,1,1,300,0,1,1,1,2,2,2,2,2,2
2,"ANCASH",2,15,1,2,10,63,2,2,2,200,0,1,2,2,2,2,2,2,2,2
2,"ANCASH",2,41,1,2,5,78,2,2,2,186,48,1,1,1,2,2,2,2,2,2
3,"ANCASH",2,27,1,2,2,50,2,1,2,150,0,1,2,2,2,2,2,2,1,2
3,"ANCASH",1,22,1,2,150,25,1,2,1,60,0,1,1,1,2,2,2,2,2,2
3,"ANCASH",1,35,1,2,2,19,1,1,2,130,0,2,2,1,2,2,2,2,2,2
